SUDT ACCESSPORT LOG FILE - Monitor mode

监控: COM9 COM10
创建时间: 2026-04-04, 22:25:33
计算机名: 黑妹
系统版本:  (Build 9200)

#	Time		Duration (s)	Process		Request                             	Port	Result	Data ( Hex )	

130	22:22:18.338	0.00002440	ModSim32.exe	IOCTL_SERIAL_CLR_RTS                	COM9	SUCCESS		
131	22:22:18.338	0.00000120	ModSim32.exe	IOCTL_SERIAL_PURGE                  	COM9	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
132	22:22:20.326	0.00001030	ModScan32.exe	IOCTL_SERIAL_PURGE                  	COM10	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
133	22:22:20.823	0.00001240	ModScan32.exe	IOCTL_SERIAL_SET_WAIT_MASK          	COM10	SUCCESS	Mask: TXEMPTY	
134	22:22:20.823	0.00003230	ModScan32.exe	IRP_MJ_WRITE                        	COM10	SUCCESS	Length: 8, Data: 01 03 00 00 00 64 44 21 	
135	22:22:20.823	0.00000180	ModScan32.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM10	SUCCESS		
136	22:22:20.823	0.00000110	ModScan32.exe	IOCTL_SERIAL_PURGE                  	COM10	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
137	22:22:20.823	1.99995690	ModScan32.exe	IRP_MJ_READ                         	COM10	TIMEOUT	Length: 5, Data: 01 83 02 C0 F1 	
138	22:22:20.823	0.00000190	ModSim32.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 8, Data: 01 03 00 00 00 64 44 21 	
139	22:22:20.823	0.00000390	ModSim32.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM9	SUCCESS		
140	22:22:20.823	2.24975280	ModSim32.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM9	SUCCESS		
141	22:22:20.887	0.00001120	ModSim32.exe	IOCTL_SERIAL_SET_RTS                	COM9	SUCCESS		
142	22:22:20.988	0.00001710	ModSim32.exe	IRP_MJ_WRITE                        	COM9	SUCCESS	Length: 5, Data: 01 83 02 C0 F1 	
143	22:22:21.089	0.00001290	ModSim32.exe	IOCTL_SERIAL_CLR_RTS                	COM9	SUCCESS		
144	22:22:21.089	0.00000210	ModSim32.exe	IOCTL_SERIAL_PURGE                  	COM9	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
145	22:22:23.074	0.00002000	ModScan32.exe	IOCTL_SERIAL_PURGE                  	COM10	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
146	22:22:23.074	0.00000190	ModScan32.exe	IOCTL_SERIAL_SET_WAIT_MASK          	COM10	SUCCESS	Mask: TXEMPTY	
147	22:22:23.074	0.00003690	ModScan32.exe	IRP_MJ_WRITE                        	COM10	SUCCESS	Length: 8, Data: 01 03 00 00 00 64 44 21 	
148	22:22:23.074	0.00000460	ModScan32.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM10	SUCCESS		
149	22:22:23.074	0.00000200	ModScan32.exe	IOCTL_SERIAL_PURGE                  	COM10	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
150	22:22:23.074	2.00034020	ModScan32.exe	IRP_MJ_READ                         	COM10	TIMEOUT	Length: 5, Data: 01 83 02 C0 F1 	
151	22:22:23.075	0.00000320	ModSim32.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 8, Data: 01 03 00 00 00 64 44 21 	
152	22:22:23.076	0.00000990	ModSim32.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM9	SUCCESS		
153	22:22:23.076	2.74639130	ModSim32.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM9	SUCCESS		
154	22:22:23.138	0.00002210	ModSim32.exe	IOCTL_SERIAL_SET_RTS                	COM9	SUCCESS		
155	22:22:23.238	0.00003070	ModSim32.exe	IRP_MJ_WRITE                        	COM9	SUCCESS	Length: 5, Data: 01 83 02 C0 F1 	
156	22:22:23.338	0.00001840	ModSim32.exe	IOCTL_SERIAL_CLR_RTS                	COM9	SUCCESS		
157	22:22:23.338	0.00000260	ModSim32.exe	IOCTL_SERIAL_PURGE                  	COM9	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
158	22:22:25.325	0.00001060	ModScan32.exe	IOCTL_SERIAL_PURGE                  	COM10	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
159	22:22:25.822	0.00001950	ModScan32.exe	IOCTL_SERIAL_SET_WAIT_MASK          	COM10	SUCCESS	Mask: TXEMPTY	
160	22:22:25.822	0.00005580	ModScan32.exe	IRP_MJ_WRITE                        	COM10	SUCCESS	Length: 8, Data: 01 03 00 00 00 64 44 21 	
161	22:22:25.822	0.00000430	ModScan32.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM10	SUCCESS		
162	22:22:25.822	0.00000190	ModScan32.exe	IOCTL_SERIAL_PURGE                  	COM10	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
163	22:22:25.822	2.00043690	ModScan32.exe	IRP_MJ_READ                         	COM10	TIMEOUT	Length: 5, Data: 01 83 02 C0 F1 	
164	22:22:25.823	0.00000580	ModSim32.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 8, Data: 01 03 00 00 00 64 44 21 	
165	22:22:25.823	0.00000000	ModSim32.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM9			
166	22:22:25.823	2.24967500	ModSim32.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM9	SUCCESS		
167	22:22:25.889	0.00001670	ModSim32.exe	IOCTL_SERIAL_SET_RTS                	COM9	SUCCESS		
168	22:22:25.990	0.00003050	ModSim32.exe	IRP_MJ_WRITE                        	COM9	SUCCESS	Length: 5, Data: 01 83 02 C0 F1 	
169	22:22:26.091	0.00001310	ModSim32.exe	IOCTL_SERIAL_CLR_RTS                	COM9	SUCCESS		
170	22:22:26.091	0.00000190	ModSim32.exe	IOCTL_SERIAL_PURGE                  	COM9	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
171	22:22:28.074	0.00001020	ModScan32.exe	IOCTL_SERIAL_PURGE                  	COM10	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
172	22:22:28.074	0.00000060	ModScan32.exe	IOCTL_SERIAL_SET_WAIT_MASK          	COM10	SUCCESS	Mask: TXEMPTY	
173	22:22:28.074	0.00001360	ModScan32.exe	IRP_MJ_WRITE                        	COM10	SUCCESS	Length: 8, Data: 01 03 00 00 00 64 44 21 	
174	22:22:28.074	0.00000150	ModScan32.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM10	SUCCESS		
175	22:22:28.074	0.00000060	ModScan32.exe	IOCTL_SERIAL_PURGE                  	COM10	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
176	22:22:28.074	1.99990130	ModScan32.exe	IRP_MJ_READ                         	COM10	TIMEOUT	Length: 5, Data: 01 83 02 C0 F1 	
177	22:22:28.074	0.00000460	ModSim32.exe	IRP_MJ_READ                         	COM9	SUCCESS	Length: 8, Data: 01 03 00 00 00 64 44 21 	
178	22:22:28.074	0.00000560	ModSim32.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM9	SUCCESS		
179	22:22:28.074	2.75202310	ModSim32.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM9	SUCCESS		
180	22:22:28.137	0.00000840	ModSim32.exe	IOCTL_SERIAL_SET_RTS                	COM9	SUCCESS		
181	22:22:28.238	0.00001320	ModSim32.exe	IRP_MJ_WRITE                        	COM9	SUCCESS	Length: 5, Data: 01 83 02 C0 F1 	
182	22:22:28.338	0.00000790	ModSim32.exe	IOCTL_SERIAL_CLR_RTS                	COM9	SUCCESS		
183	22:22:28.338	0.00000130	ModSim32.exe	IOCTL_SERIAL_PURGE                  	COM9	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
184	22:22:30.326	0.00001610	ModScan32.exe	IOCTL_SERIAL_PURGE                  	COM10	SUCCESS	Purge: TXABORT RXABORT TXCLEAR RXCLEAR	
